Package Category,Initial Email,Responded Email
Transit,Where is my package? It hasn't moved in 3 days.,Your package is still in transit and expected to update soon.
Delivered,I didn't receive my package even though it says delivered.,We have opened a case to verify the delivery location.
Shipped,Has my package shipped yet?,Yes your package shipped earlier today.
General,I need help updating my delivery address.,Your address has been updated successfully.
Investigations,My package seems lost. Can you check?,We have initiated an investigation with the carrier.
Transit,Why is my package delayed?,The delay is due to weather conditions in the region.
Delivered,The package was left outside and is damaged.,We are processing a replacement for the damaged item.
Shipped,Can I get the tracking number for my order?,Here is your tracking number: XXXX.
General,I want to cancel my order.,Your order has been canceled and refunded.
Investigations,Tracking hasn't updated in a week. Is it stuck?,We escalated the issue to our investigations team.
Delivered,The package was delivered to the wrong address. Order #10000.,We are reviewing the GPS delivery scan with the carrier. Please allow additional time for updates.
Investigations,Tracking hasn't changed in over a week. This is urgent.,Our investigations team is reviewing the delay. A support representative will follow up if needed.
Transit,My package is delayed in transit. This is urgent.,We apologize for the delay and are monitoring the shipment closely. A support representative will follow up if needed.
Delivered,The item arrived damaged. This is urgent.,We are arranging a replacement shipment for you. Please allow additional time for updates.
Shipped,Has my order shipped yet? This is urgent.,Your order has already been shipped.
Delivered,I received an empty package. This is urgent.,We are investigating the missing contents immediately. You will receive another update shortly.
General,How do I update my contact information? Order #10006.,Your account details have been updated successfully.
Investigations,The package never arrived and tracking stopped. Order #10007.,An investigation has been initiated to locate the shipment. A support representative will follow up if needed.
General,How do I update my contact information? This is urgent.,Your account details have been updated successfully.
Transit,My package is delayed in transit. Order #10009.,We apologize for the delay and are monitoring the shipment closely. We appreciate your understanding.
Investigations,Tracking hasn't changed in over a week. This is urgent.,Our investigations team is reviewing the delay. Please allow additional time for updates.
Investigations,Can you check if the package was misplaced? Order #10011.,We escalated the issue with the shipping carrier.
Delivered,My order says delivered but nothing was left at my door. Please help.,Please check nearby areas while we investigate the delivery. Thank you for your patience.
Delivered,My tracking says delivered but I can't find the package. Thanks in advance.,We have contacted the carrier to verify the delivery details. You will receive another update shortly.
Investigations,The package never arrived and tracking stopped. Thanks in advance.,An investigation has been initiated to locate the shipment. We appreciate your understanding.
Delivered,The package was delivered to the wrong address. This is urgent.,We are reviewing the GPS delivery scan with the carrier. A support representative will follow up if needed.
Investigations,I think my shipment is missing. This is urgent.,We are actively working with the carrier to resolve the issue.
Investigations,Can you check if the package was misplaced? Thanks in advance.,We escalated the issue with the shipping carrier. You will receive another update shortly.
Transit,My package is delayed in transit. Please help.,We apologize for the delay and are monitoring the shipment closely. Please allow additional time for updates.
Investigations,Tracking hasn't changed in over a week. Thanks in advance.,Our investigations team is reviewing the delay. Thank you for your patience.
Shipped,I need the shipment confirmation for my order. This is urgent.,Your shipment confirmation has been sent successfully.
General,I want to place a replacement order.,We can assist you with a replacement purchase. A support representative will follow up if needed.
General,Can I cancel my order before it ships? Please help.,Your cancellation request has been completed. We appreciate your understanding.
Shipped,Can you send me my tracking information? Order #10023.,Your tracking number has been emailed to you. Our support team is monitoring this case.
Shipped,Can you send me my tracking information? Thanks in advance.,Your tracking number has been emailed to you. Please allow additional time for updates.
Transit,Can you tell me why tracking stopped updating? Thanks in advance.,Tracking updates may take time between scan locations.
Transit,The tracking page says in transit for days. Order #10026.,Your package is still on the way and should arrive soon. Our support team is monitoring this case.
Delivered,My tracking says delivered but I can't find the package. Thanks in advance.,We have contacted the carrier to verify the delivery details. Our support team is monitoring this case.
Shipped,Did my package already go out? Thanks in advance.,"Yes, the carrier picked up your package this morning. A support representative will follow up if needed."
General,How do I update my contact information? Order #10029.,Your account details have been updated successfully. Thank you for your patience.
Investigations,The package never arrived and tracking stopped. Thanks in advance.,An investigation has been initiated to locate the shipment. A support representative will follow up if needed.
Investigations,Tracking hasn't changed in over a week. Order #10031.,Our investigations team is reviewing the delay. A support representative will follow up if needed.
General,Can I cancel my order before it ships? Order #10032.,Your cancellation request has been completed. A support representative will follow up if needed.
Transit,Can you tell me why tracking stopped updating? This is urgent.,Tracking updates may take time between scan locations.
Transit,My package is delayed in transit. Please help.,We apologize for the delay and are monitoring the shipment closely. A support representative will follow up if needed.
Shipped,When will my order leave the warehouse?,Your package is scheduled to ship later today. A support representative will follow up if needed.
General,I entered the wrong apartment number. This is urgent.,We corrected the address on your order.
General,Can I cancel my order before it ships? Thanks in advance.,Your cancellation request has been completed. A support representative will follow up if needed.
General,I entered the wrong apartment number.,We corrected the address on your order. Our support team is monitoring this case.
Delivered,The package was delivered to the wrong address. This is urgent.,We are reviewing the GPS delivery scan with the carrier. A support representative will follow up if needed.
Shipped,Has my order shipped yet? This is urgent.,Your order has already been shipped.
Delivered,My order says delivered but nothing was left at my door. Order #10041.,Please check nearby areas while we investigate the delivery. Please allow additional time for updates.
Shipped,When will my order leave the warehouse? Order #10042.,Your package is scheduled to ship later today.
Delivered,My order says delivered but nothing was left at my door. Order #10043.,Please check nearby areas while we investigate the delivery. Our support team is monitoring this case.
General,I entered the wrong apartment number. Thanks in advance.,We corrected the address on your order. We appreciate your understanding.
Shipped,I need the shipment confirmation for my order. Order #10045.,Your shipment confirmation has been sent successfully. You will receive another update shortly.
Shipped,Did my package already go out? Please help.,"Yes, the carrier picked up your package this morning."
Delivered,My tracking says delivered but I can't find the package. This is urgent.,We have contacted the carrier to verify the delivery details. Thank you for your patience.
General,Can I cancel my order before it ships? Please help.,Your cancellation request has been completed. Please allow additional time for updates.
Shipped,Did my package already go out? Order #10049.,"Yes, the carrier picked up your package this morning. We appreciate your understanding."
General,I entered the wrong apartment number. This is urgent.,We corrected the address on your order. Please allow additional time for updates.
Shipped,I need the shipment confirmation for my order. This is urgent.,Your shipment confirmation has been sent successfully.
Investigations,I think my shipment is missing.,We are actively working with the carrier to resolve the issue. Our support team is monitoring this case.
Investigations,Can you check if the package was misplaced? Order #10053.,We escalated the issue with the shipping carrier. Thank you for your patience.
Delivered,My order says delivered but nothing was left at my door. Order #10054.,Please check nearby areas while we investigate the delivery. We appreciate your understanding.
Transit,My package is delayed in transit. Please help.,We apologize for the delay and are monitoring the shipment closely. Thank you for your patience.
Investigations,Tracking hasn't changed in over a week. Please help.,Our investigations team is reviewing the delay.
Delivered,My tracking says delivered but I can't find the package. This is urgent.,We have contacted the carrier to verify the delivery details. Please allow additional time for updates.
Delivered,My order says delivered but nothing was left at my door.,Please check nearby areas while we investigate the delivery.
Transit,The tracking page says in transit for days.,Your package is still on the way and should arrive soon. Our support team is monitoring this case.
Delivered,I received an empty package. Thanks in advance.,We are investigating the missing contents immediately.
Delivered,My order says delivered but nothing was left at my door. Thanks in advance.,Please check nearby areas while we investigate the delivery. A support representative will follow up if needed.
Shipped,Can you send me my tracking information?,Your tracking number has been emailed to you.
